US	2016-12-31	New Year's Eve
US	2016-01-01	New Year's Day
US	2016-07-04	Independence Day
US	2016-12-25	Christmas Day
US	2016-01-18	Martin Luther King, Jr. Day
US	2016-05-30	Memorial Day
US	2016-11-24	Thanksgiving Day
US	2016-09-05	Labor Day
US	2016-11-11	Veterans Day
US	2016-10-10	Columbus Day
US	2016-02-15	George Washington's Birthday
CN	2016-06-09	Dragon Boat
CN	2016-01-01	New Year's Day
CN	2016-05-01	May Day
CN	2016-02-08	Chinese New Year
CN	2016-09-15	Mid-Autumn Day
CN	2016-04-04	Qingming
CN	2016-10-01	National Day
AU	2016-12-31	New Year's Eve
AU	2016-01-26	Australia Day
AU	2016-01-01	New Year's Day
AU	2016-12-25	Christmas Day
AU	2016-03-25	Good Friday
AU	2016-03-27	Easter Sunday
AU	2016-03-28	Easter Monday
AU	2016-12-26	Boxing Day
AU	2016-12-26	Proclamation Day
AU	2016-04-25	ANZAC Day
IN	2016-07-06	Eid ul-Fitr
IN	2016-08-15	Independence Day
IN	2016-12-25	Christmas
IN	2016-05-01	Labours Day
IN	2016-12-12	Prophet Mohammad's Birthday (Id-e-Milad)
IN	2016-10-29	Diwali / Deepavali
IN	2016-10-11	Dussehra
IN	2016-10-11	Muharram
IN	2016-09-12	Eid ul-Adha / Bakrid
IN	2016-03-25	Good Friday
IN	2016-05-21	Budha Purnima / Vesak
IN	2016-01-26	Republic Day
IN	2016-10-02	Mahatma Gandhi Jayanti
IN	2016-11-14	Guru Nanak Jayanti
IN	2016-04-19	Mahavir Jayanti
PH	2016-12-30	Paggunita sa Kamatayan ni Dr. Jose Rizal
PH	2016-07-06	Pagwawakas ng Ramadan / Lebaran / Araw ng raya
PH	2016-01-01	Araw ng Bagong Taon
PH	2016-12-25	Araw ng Pasko
PH	2016-05-01	Araw ng mga Manggagawa
PH	2016-06-12	Araw ng Kalayaan
PH	2016-09-12	Eidul Adha / Araw ng kurban
PH	2016-03-24	Huwebes Santo
PH	2016-03-25	Biyernes Santo
PH	2016-08-29	Araw ng mga Bayani
PH	2016-04-09	Araw ng Kagitingan
PH	2016-11-30	Araw ng Kapanganakan ni Bonifacio
ZA	2016-12-26	Day of Goodwill
ZA	2016-01-01	New Year's Day
ZA	2016-12-25	Christmas Day
ZA	2016-06-16	Youth Day
ZA	2016-05-01	Workers' Day
ZA	2016-09-24	Heritage Day
ZA	2016-08-09	National Women's Day
ZA	2016-03-21	Human Rights Day
ZA	2016-03-25	Good Friday
ZA	2016-03-28	Family Day
ZA	2016-12-16	Day of Reconciliation
ZA	2016-04-27	Freedom Day
ID	2016-01-01	Tahun Baru
ID	2016-08-17	Hari Kemerdekaan Indonesia
ID	2016-05-01	Hari Buruh
ID	2016-12-25	Hari Raya Natal
ID	2016-02-08	Tahun Baru Imlek
ID	2016-03-25	Jumat Agung
HK	2016-07-01	Hong Kong Special Administrative Region Establishment Day
HK	2016-06-09	Dragon Boat
HK	2016-01-01	New Year's Day
HK	2016-12-25	Christmas Day
HK	2016-05-01	Labour Day
HK	2016-05-14	Buddha's Birthday
HK	2016-02-09	Lunar New Year - Day 2
HK	2016-02-08	Lunar New Year
HK	2016-03-25	Good Friday
HK	2016-03-26	Holy Saturday
HK	2016-04-04	Qingming Festival
HK	2016-03-28	Easter Monday
HK	2016-12-26	Boxing Day
HK	2016-02-10	Lunar New Year - Day 3
HK	2016-10-01	National Day of the People's Republic of China
HK	2016-10-10	Chung Yeung Festival
HK	2016-09-16	Day After Mid-Autumn Festival
ZW	2016-12-22	National Unity Day
ZW	2016-08-14	Heroes' Day
ZW	2016-01-01	New Year's Day
ZW	2016-12-25	Christmas Day
ZW	2016-05-01	Workers' Day
ZW	2016-05-25	Africa Day
ZW	2016-04-18	Independence Day
ZW	2016-03-25	Good Friday
ZW	2016-03-27	Easter Sunday
ZW	2016-12-26	Boxing Day
ZW	2016-08-15	Defense Forces Day
PK	2016-07-06	Eid-ul-Fitr
PK	2016-07-07	Eid-ul-Fitr Holiday
PK	2016-12-25	Birthday of Quaid-e-Azam Muhhamad Ali Jinnah
PK	2016-05-01	Labour Day
PK	2016-07-08	Eid-ul-Fitr Holiday
PK	2016-09-13	Eid ul-Azha Day 2
PK	2016-09-12	Eid ul-Azha Day 1
PK	2016-03-23	Paskistan Day
PK	2016-10-11	Ashura
PK	2016-08-14	Independence Day
PK	2016-02-05	Kashmir Day
PK	2016-12-01	Birthday of Nabi
TR	2016-01-01	Yılbaşı
TR	2016-08-16	Kurban Bayramı
TR	2016-05-01	Emek ve Dayanışma Günü
TR	2016-06-07	Ramazan Bayramı
TR	2016-08-30	Zafer Bayramı
TR	2016-05-19	Atatürk'ü Anma Gençlik ve Spor Bayramı
TR	2016-10-29	Cumhuriyet Bayramı
TR	2016-04-23	Ulusal Egemenlik ve Çocuk Bayramı
AO	2016-11-11	Independence Day
AO	2016-01-01	New Year's Day
AO	2016-12-25	Christmas Day
AO	2016-05-01	May Day
AO	2016-02-09	Carnival
AO	2016-09-17	National Hero Day
AO	2016-03-25	Good Friday
AO	2016-03-08	International Woman's Day
AO	2016-04-04	Peace Day
AO	2016-11-02	All Souls' Day
AO	2016-02-04	Begin of the Armed Fight for National Liberation
IT	2016-05-16	Pentecoste
IT	2016-01-06	Epifania
IT	2016-12-26	Santo Stefano
IT	2016-01-01	Capodanno
IT	2016-12-25	Natale
IT	2016-05-01	Festa dei lavoratori
IT	2016-12-08	Immacolata Concezione
IT	2016-06-02	Festa della Repubblica
IT	2016-11-01	Tutti i santi
IT	2016-03-27	Pasqua
IT	2016-03-28	Lunedì dell'Angelo
IT	2016-04-25	Festa della Liberazione
IT	2016-08-15	Assunzione di Maria Vergine
MU	2016-11-02	Arrival of Indentured Labourers
MU	2016-07-06	Eid-ul-Fitr
MU	2016-01-01	New Year's Day
MU	2016-01-02	Day after New Year's Day
MU	2016-12-25	Christmas Day
MU	2016-05-01	Labour Day
MU	2016-11-01	All Saints Day
MU	2016-10-29	Diwali
MU	2016-02-08	Chinese Spring Festival
MU	2016-01-24	Thaipoosam Cavadee
MU	2016-02-01	Abolition of Slavery
MU	2016-03-07	Maha Shivaratree
MU	2016-09-05	Ganesh Chaturthi
MU	2016-04-08	Ugadi
MU	2016-03-12	Independence and Republic Day
SC	2016-12-05	Presidential Election
SC	2016-01-01	New Year
SC	2016-06-18	Constitution Day
SC	2016-12-25	Christmas Day
SC	2016-06-05	Liberation Day
SC	2016-05-16	Corpus Christi
SC	2016-03-27	Easter Day
SC	2016-12-08	Immaculate Conception
SC	2016-06-29	National Day
SC	2016-03-25	Good Friday
SC	2016-05-01	Labour Day
SC	2016-11-01	All Saints' Eve
SC	2016-08-15	Assumption of Mary
SG	2016-07-06	Hari Raya Puasa
SG	2016-01-01	New Year's Day
SG	2016-09-12	Hari Raya Haji
SG	2016-05-01	Labour Day
SG	2016-12-25	Christmas Day
SG	2016-08-09	National Day
SG	2016-02-09	Second day of Chinese New Year
SG	2016-02-08	Chinese New Year
SG	2016-03-25	Good Friday
SG	2016-05-21	Vesak Day
SG	2016-10-29	Deepavali
